 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        1120.500;        1164.900;        1124.479;           7.457 ( 0.663 %);    678.483
       IKJ;           2.344;           0.002;           0.000;         10;         10;         700.500;         719.500;         702.694;           3.260 ( 0.464 %);   1085.735
       IEX;           2.344;           0.002;           0.000;         10;         10;         700.600;         720.200;         702.588;           3.355 ( 0.478 %);   1085.899
    UNROLL;           2.344;           0.002;           0.000;         10;         10;         480.900;         529.400;         488.367;          15.503 ( 3.174 %);   1562.227
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         411.400;        1967.000;         461.355;         270.297 (58.588 %);   1653.694
