title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;         486.000;         515.300;         488.367;           4.906 ( 1.005 %);   1562.227
       IKJ;           2.344;           0.002;           0.000;         10;         10;         481.300;         504.600;         483.279;           3.887 ( 0.804 %);   1578.674
       IEX;           2.344;           0.002;           0.000;         10;         10;         452.800;         541.500;         482.658;          11.719 ( 2.428 %);   1580.705
    UNROLL;           2.344;           0.002;           0.000;         10;         10;         494.700;         525.900;         498.055;           5.306 ( 1.065 %);   1531.839
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         397.500;        5539.500;         557.309;         894.394 (160.484 %);   1368.970
