 title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;         757.000;       22303.800;        1473.073;        3741.820 (254.015 %);    517.924
       IKJ;           2.344;           0.002;           0.000;         10;         10;         653.000;         679.700;         656.152;           4.532 ( 0.691 %);   1162.749
       IEX;           2.344;           0.002;           0.000;         10;         10;         652.300;         673.900;         656.170;           3.515 ( 0.536 %);   1162.717
    UNROLL;           2.344;           0.002;           0.000;         10;         10;         696.200;         764.300;         703.148;          11.484 ( 1.633 %);   1085.033
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         356.300;      305853.300;        9710.555;       53163.757 (547.484 %);     78.568
