title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        3488.500;        4004.400;        3514.439;          88.110 ( 2.507 %);    217.087
       IKJ;           2.344;           0.002;           0.000;         10;         10;        3193.800;       18103.400;        3654.376;        2593.861 (70.980 %);    208.774
       IEX;           2.344;           0.002;           0.000;         10;         10;        2175.500;        2623.700;        2486.152;         191.411 ( 7.699 %);    306.876
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2128.100;        2399.700;        2154.764;          62.769 ( 2.913 %);    354.071
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         357.300;        1769.700;         403.897;         245.198 (60.708 %);   1888.946
