title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        3464.800;       71186.900;        5870.773;       11738.020 (199.940 %);    129.956
       IKJ;           2.344;           0.002;           0.000;         10;         10;        3256.300;       38295.300;        5160.194;        6292.919 (121.951 %);    147.851
       IEX;           2.344;           0.002;           0.000;         10;         10;        2813.200;        4019.000;        2986.164;         235.831 ( 7.897 %);    255.492
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2760.200;        5462.900;        3080.361;         488.068 (15.844 %);    247.679
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         358.300;       33469.600;        1365.327;        5763.283 (422.117 %);    558.796

