title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        5515.700;        5865.600;        5662.364;          89.402 ( 1.579 %);    134.739
       IKJ;           2.344;           0.002;           0.000;         10;         10;        3709.500;       23230.000;        5060.539;        3381.791 (66.827 %);    150.762
       IEX;           2.344;           0.002;           0.000;         10;         10;        2986.900;        3540.600;        3157.991;         160.258 ( 5.075 %);    241.590
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2670.100;        3287.900;        2956.270;         197.679 ( 6.687 %);    258.075
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         403.600;        2553.700;         471.458;         373.816 (79.289 %);   1618.257
