title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        4583.000;       29364.400;        6302.109;        4273.666 (67.813 %);    121.061
       IKJ;           2.344;           0.002;           0.000;         10;         10;        3803.800;        6189.000;        4828.027;         523.038 (10.833 %);    158.023
       IEX;           2.344;           0.002;           0.000;         10;         10;        2858.400;        3866.000;        3022.476;         165.880 ( 5.488 %);    252.422
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2628.500;       15609.600;        3162.321;        2242.189 (70.903 %);    241.259
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         358.700;        2442.400;         424.118;         362.320 (85.429 %);   1798.884
