title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        5298.600;        7939.600;        5840.170;         457.239 ( 7.829 %);    130.637
       IKJ;           2.344;           0.002;           0.000;         10;         10;        5330.700;        7638.100;        5772.982;         426.047 ( 7.380 %);    132.157
       IEX;           2.344;           0.002;           0.000;         10;         10;        2959.900;        4371.700;        3184.818;         277.104 ( 8.701 %);    239.555
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2720.500;        3900.200;        2868.576;         196.530 ( 6.851 %);    265.965
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         359.100;        2845.600;         472.721;         470.188 (99.464 %);   1613.931
