    title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           2.344;           0.002;           0.000;         10;         10;        3517.200;        3758.400;        3654.733;          68.068 ( 1.862 %);    208.754
       IKJ;           2.344;           0.002;           0.000;         10;         10;        3533.800;       19728.600;        4831.294;        2999.129 (62.077 %);    157.916
       IEX;           2.344;           0.002;           0.000;         10;         10;        3576.500;       10189.700;        3945.776;        1129.950 (28.637 %);    193.356
    UNROLL;           2.344;           0.002;           0.000;         10;         10;        2637.700;        3300.200;        2862.876;         141.576 ( 4.945 %);    266.494
     CBLAS;           2.344;           0.002;           0.000;         10;         10;         360.200;       13265.600;         831.009;        2274.276 (273.676 %);    918.088
